date,station,flood_label_extended,flood_label_primary,flood_event_id,rainfall_mm_scaled,rainfall_3d_cum_mm_scaled,river_discharge_scaled,river_discharge_roc_scaled,slope_scaled,drainage_density_scaled,discharge_sensor_outage,raw_rainfall_mm,raw_rainfall_3d_cum_mm,raw_river_discharge,raw_river_discharge_roc,raw_slope,raw_drainage_density
2001-01-01,KUTTYADI,0,0,NONE,-0.5762276189967764,-0.6692046303102566,-0.33634653364190187,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.05,0.05,2.662606,0.0,12.5,2.95
2001-01-02,KUTTYADI,0,0,NONE,-0.5771357400772408,-0.6678074727451812,-0.33802260686111457,0.0007841680812908423,0.10746413619885188,0.6506910236529992,0,0.04,0.09,2.399,-0.2636059999999998,12.5,2.95
2001-01-04,KUTTYADI,0,0,NONE,-0.5707788925139905,-0.6650131576150302,-0.33747989068275075,0.004348398065533217,0.10746413619885188,0.6506910236529992,0,0.11,0.1699999999999999,2.4843562,0.0853562000000001,12.5,2.95
2001-01-05,KUTTYADI,0,0,NONE,-0.578043861157705,-0.6653624470062991,-0.3389827028228951,0.0010624920780578488,0.10746413619885188,0.6506910236529992,0,0.03,0.1599999999999999,2.248,-0.2363561999999999,12.5,2.95
2001-01-06,KUTTYADI,0,0,NONE,-0.5535245919851686,-0.6555823440507709,-0.34165316841195353,-0.0008132088958018155,0.10746413619885188,0.6506910236529992,0,0.3,0.4399999999999999,1.828,-0.42000000000000015,12.5,2.95
2001-01-07,KUTTYADI,0,0,NONE,-0.5753194979163122,-0.6573287910071152,-0.34206645475311737,0.002812689967760036,0.10746413619885188,0.6506910236529992,0,0.06,0.39,1.763,-0.06500000000000017,12.5,2.95
2001-01-08,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6583766591809218,-0.34191017783519534,0.0037276278380120433,0.10746413619885188,0.6506910236529992,0,0.0,0.36,1.7875786,0.024578600000000117,12.5,2.95
2001-01-09,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6688553409189877,-0.34247338284287865,0.0025718628721420676,0.10746413619885188,0.6506910236529992,0,0.0,0.06,1.699,-0.08857859999999995,12.5,2.95
2001-01-12,KUTTYADI,0,0,NONE,-0.5762276189967764,-0.66815676213645,-0.3417549004343939,0.003101123583386633,0.10746413619885188,0.6506910236529992,0,0.05,0.08,1.812,-0.036760399999999915,12.5,2.95
2001-01-14,KUTTYADI,0,0,NONE,-0.5698707714335263,-0.6541851864856955,-0.3432618060167911,0.0008924956400146051,0.10746413619885188,0.6506910236529992,0,0.12,0.48,1.575,-0.2530000000000001,12.5,2.95
2001-01-15,KUTTYADI,0,0,NONE,-0.3346674115932687,-0.5612742084081779,-0.34199735327687475,0.005507784844746907,0.10746413619885188,0.6506910236529992,0,2.71,3.14,1.773868,0.19886800000000004,12.5,2.95
2001-01-16,KUTTYADI,0,0,NONE,0.09941446486867389,-0.31048442547713445,-0.3414358382924143,0.004378596185476897,0.10746413619885188,0.6506910236529992,0,7.49,10.32,1.8621808,0.08831279999999997,12.5,2.95
2001-01-18,KUTTYADI,0,0,NONE,-0.580768224399098,-0.4068882974673406,-0.34183448603137406,0.003622578908964905,0.10746413619885188,0.6506910236529992,0,0.0,7.56,1.7994831,0.014293600000000017,12.5,2.95
2001-01-19,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6685060515277188,-0.34275588058851775,0.0019964725563133027,0.10746413619885188,0.6506910236529992,0,0.0,0.07,1.6545699,-0.14491319999999996,12.5,2.95
2001-01-20,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3427002185482647,0.0035660016087538386,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.6633242,0.008754299999999882,12.5,2.95
2001-01-21,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3443808582636347,0.000776832530406869,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.399,-0.2643241999999999,12.5,2.95
2001-01-23,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34289705793100905,0.003409376055787468,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.6323661,-0.006580400000000042,12.5,2.95
2001-01-24,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.670601787875332,-0.3415029604449953,0.00571604421891036,0.10746413619885188,0.6506910236529992,0,0.01,0.01,1.8516241,0.21925799999999995,12.5,2.95
2001-01-25,KUTTYADI,0,0,NONE,-0.5453515022609897,-0.6569795016158464,-0.34161611888103105,0.0032948109296384153,0.10746413619885188,0.6506910236529992,0,0.39,0.4,1.833827,-0.0177970999999999,12.5,2.95
2001-01-26,KUTTYADI,0,0,NONE,-0.4554475152950226,-0.6087775656207433,-0.3428675944298349,0.0014662354058254782,0.10746413619885188,0.6506910236529992,0,1.38,1.7799999999999998,1.637,-0.19682700000000009,12.5,2.95
2001-01-27,KUTTYADI,0,0,NONE,-0.5444433811805254,-0.5951552793612576,-0.34247338284287865,0.004109842518949771,0.10746413619885188,0.6506910236529992,0,0.4,2.17,1.699,0.062000000000000055,12.5,2.95
2001-01-28,KUTTYADI,0,0,NONE,-0.5762276189967764,-0.6070311186643991,-0.34247338284287865,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.05,1.83,1.699,0.0,12.5,2.95
2001-01-30,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6615202637023416,-0.3432618060167911,0.0011563834524048286,0.10746413619885188,0.6506910236529992,0,0.02,0.2699999999999998,1.575,-0.22716360000000013,12.5,2.95
2001-01-31,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6625681318761483,-0.3429162929131519,0.004031614006313415,0.10746413619885188,0.6506910236529992,0,0.02,0.2399999999999998,1.6293409,0.054340900000000136,12.5,2.95
2001-02-01,KUTTYADI,0,0,NONE,-0.43819321476620055,-0.614715485272314,-0.34354821345121767,0.002461479275555666,0.10746413619885188,0.6506910236529992,0,1.57,1.61,1.529955,-0.09938590000000014,12.5,2.95
2001-02-02,KUTTYADI,0,0,NONE,-0.40640897694994954,-0.5483505009312301,-0.32756039029958084,0.029159186076373543,0.10746413619885188,0.6506910236529992,0,1.92,3.51,4.044455,2.5145,12.5,2.95
2001-02-03,KUTTYADI,0,0,NONE,-0.45907999961687984,-0.5022443012837401,-0.32911720179723647,0.0009757483206819063,0.10746413619885188,0.6506910236529992,0,1.34,4.83,3.799606,-0.24484900000000032,12.5,2.95
2001-02-04,KUTTYADI,0,0,NONE,-0.4845073898698807,-0.5200580602384521,-0.3264696640627355,0.007729551819944531,0.10746413619885188,0.6506910236529992,0,1.06,4.319999999999999,4.216,0.4163940000000004,12.5,2.95
2001-02-05,KUTTYADI,0,0,NONE,-0.5326378071344893,-0.568609285624824,-0.34151100236136916,-0.020685593129688252,0.10746413619885188,0.6506910236529992,0,0.53,2.93,1.8503593,-2.3656407,12.5,2.95
2001-02-06,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6154140640548517,-0.34157293745245604,0.0033770953421021527,0.10746413619885188,0.6506910236529992,0,0.0,1.59,1.8406184,-0.009740899999999941,12.5,2.95
2001-02-07,KUTTYADI,0,0,NONE,-0.580768224399098,-0.652438739529351,-0.34206645475311737,0.0026838081586897005,0.10746413619885188,0.6506910236529992,0,0.0,0.5299999999999998,1.763,-0.0776184000000002,12.5,2.95
2001-02-08,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34247338284287865,0.0028229037673757063,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.699,-0.06399999999999983,12.5,2.95
2001-02-09,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3417576510139506,0.004626327809635058,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.8115674,0.11256739999999987,12.5,2.95
2001-02-10,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3432618060167911,0.001060334923579019,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.575,-0.23656739999999998,12.5,2.95
2001-02-11,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3432618060167911,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.575,0.0,12.5,2.95
2001-02-12,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34144337345615144,0.006397689713520872,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.8609957,0.28599569999999996,12.5,2.95
2001-02-13,KUTTYADI,0,0,NONE,-0.578043861157705,-0.6699032090927942,-0.3432047260864753,0.0006471765153256656,0.10746413619885188,0.6506910236529992,0,0.03,0.0299999999999997,1.5839773,-0.2770184,12.5,2.95
2001-02-14,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6695539197015254,-0.34316467609671597,0.0035409226451775305,0.10746413619885188,0.6506910236529992,0,0.01,0.0399999999999997,1.5902762,0.006298899999999996,12.5,2.95
2001-02-15,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6688553409189877,-0.3447369203421758,0.0009509573862547627,0.10746413619885188,0.6506910236529992,0,0.02,0.0599999999999997,1.343,-0.24727619999999995,12.5,2.95
2001-02-16,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6699032090927942,-0.345423611493648,0.0023734965842863495,0.10746413619885188,0.6506910236529992,0,0.0,0.0299999999999997,1.235,-0.10799999999999987,12.5,2.95
2001-02-17,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6702524984840632,-0.34576059881798155,0.002935255563148042,0.10746413619885188,0.6506910236529992,0,0.0,0.0199999999999997,1.182,-0.05300000000000016,12.5,2.95
2001-02-19,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34617182508569094,0.0033369030192345397,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.117324,-0.013676000000000021,12.5,2.95
2001-02-20,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3460848696395101,0.003616270866322269,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.131,0.013676000000000021,12.5,2.95
2001-02-21,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34639642395823356,0.002976110761610713,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.082,-0.04899999999999993,12.5,2.95
2001-02-22,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34634872244873643,0.003553213931635023,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.0895023,0.007502299999999851,12.5,2.95
2001-02-23,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6702524984840632,-0.34670797827695704,0.0028994837727540925,0.10746413619885188,0.6506910236529992,0,0.02,0.0199999999999997,1.033,-0.056502300000000005,12.5,2.95
2001-02-24,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6695539197015254,-0.34670797827695704,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.02,0.0399999999999997,1.033,0.0,12.5,2.95
2001-02-26,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6699032090927942,-0.345423611493648,0.004538822102807793,0.10746413619885188,0.6506910236529992,0,0.0,0.0299999999999997,1.235,0.10400000000000009,12.5,2.95
2001-02-27,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6706017878753321,-0.345423611493648,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.0,0.0099999999999997,1.235,0.0,12.5,2.95
2001-02-28,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.34576059881798155,0.002935255563148042,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.182,-0.05300000000000016,12.5,2.95
2001-03-01,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3438503340323352,0.006545207621369955,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.4824387,0.30043870000000017,12.5,2.95
2001-03-03,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3447369203421758,0.0027433709525284283,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.343,-0.07178679999999993,12.5,2.95
2001-03-04,KUTTYADI,0,0,NONE,-0.5744113768358478,-0.6685060515277188,-0.3447369203421758,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.07,0.0699999999999997,1.343,0.0,12.5,2.95
2001-03-05,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6685060515277188,-0.34401207968228853,0.004640960098964465,0.10746413619885188,0.6506910236529992,0,0.0,0.0699999999999997,1.457,0.1140000000000001,12.5,2.95
2001-03-06,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.66815676213645,-0.34401207968228853,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.01,0.0799999999999997,1.457,0.0,12.5,2.95
2001-03-07,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6702524984840632,-0.3441524094698678,0.003251163278360821,0.10746413619885188,0.6506910236529992,0,0.01,0.0199999999999997,1.4349295,-0.022070500000000104,12.5,2.95
2001-03-10,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6702524984840632,-0.34401207968228853,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.0,0.0199999999999997,1.457,0.0,12.5,2.95
2001-03-11,KUTTYADI,0,0,NONE,-0.578043861157705,-0.6695539197015254,-0.3447369203421758,0.0023122137865923442,0.10746413619885188,0.6506910236529992,0,0.03,0.0399999999999997,1.343,-0.1140000000000001,12.5,2.95
2001-03-12,KUTTYADI,0,0,NONE,-0.5771357400772408,-0.6685060515277188,-0.34444592542936237,0.003944036802888838,0.10746413619885188,0.6506910236529992,0,0.04,0.0699999999999997,1.3887665,0.04576650000000004,12.5,2.95
2001-03-13,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6685060515277188,-0.345423611493648,0.001906046724175917,0.10746413619885188,0.6506910236529992,0,0.0,0.0699999999999997,1.235,-0.15376649999999992,12.5,2.95
2001-03-14,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6695539197015254,-0.34576059881798155,0.002935255563148042,0.10746413619885188,0.6506910236529992,0,0.0,0.0399999999999997,1.182,-0.05300000000000016,12.5,2.95
2001-03-15,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6709510772666009,-0.3460848696395101,0.002955683162379379,0.10746413619885188,0.6506910236529992,0,0.0,0.0,1.131,-0.050999999999999934,12.5,2.95
2001-03-17,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6692046303102566,-0.345423611493648,0.004538822102807793,0.10746413619885188,0.6506910236529992,0,0.0,0.0499999999999997,1.235,0.10400000000000009,12.5,2.95
2001-03-18,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6688553409189877,-0.3460848696395101,0.002414351782749016,0.10746413619885188,0.6506910236529992,0,0.01,0.0599999999999997,1.131,-0.10400000000000009,12.5,2.95
2001-03-21,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6660610257888367,-0.34610429219006933,0.0034612836068142485,0.10746413619885188,0.6506910236529992,0,0.01,0.1399999999999998,1.1279453,-0.0014983000000001745,12.5,2.95
2001-03-22,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6706017878753321,-0.3463041828976618,0.003155485510461061,0.10746413619885188,0.6506910236529992,0,0.0,0.0099999999999997,1.0965073,-0.031437999999999855,12.5,2.95
2001-03-23,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6702524984840632,-0.3467587787981878,0.0027463309116570462,0.10746413619885188,0.6506910236529992,0,0.01,0.0199999999999997,1.0250103,-0.07149700000000014,12.5,2.95
2001-03-25,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6702524984840632,-0.34670797827695704,0.0035581921375677007,0.10746413619885188,0.6506910236529992,0,0.01,0.0199999999999997,1.033,0.007989699999999988,12.5,2.95
2001-03-26,KUTTYADI,0,0,NONE,-0.580768224399098,-0.6706017878753321,-0.3464379605071708,0.003910339435196828,0.10746413619885188,0.6506910236529992,0,0.0,0.0099999999999997,1.0754673,0.042467299999999986,12.5,2.95
2001-03-27,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6699032090927942,-0.34700681609287554,0.0025627858684236244,0.10746413619885188,0.6506910236529992,0,0.02,0.0299999999999997,0.986,-0.08946729999999992,12.5,2.95
2001-03-28,KUTTYADI,0,0,NONE,-0.578043861157705,-0.6692046303102566,-0.347000457841473,0.0034868007423940715,0.10746413619885188,0.6506910236529992,0,0.03,0.0499999999999997,0.987,0.0010000000000000009,12.5,2.95
2001-03-29,KUTTYADI,0,0,NONE,-0.5735032557553835,-0.6664103151801057,-0.34757905871910233,0.002547131177752691,0.10746413619885188,0.6506910236529992,0,0.08,0.1299999999999997,0.896,-0.09099999999999997,12.5,2.95
2001-03-30,KUTTYADI,0,0,NONE,-0.5671464081921332,-0.6618695530936105,-0.3478651800322157,0.0030169659600733805,0.10746413619885188,0.6506910236529992,0,0.15,0.2599999999999998,0.851,-0.04500000000000004,12.5,2.95
2001-03-31,KUTTYADI,0,0,NONE,-0.580768224399098,-0.662917421267417,-0.3478651800322157,0.0034765869427784046,0.10746413619885188,0.6506910236529992,0,0.0,0.2299999999999998,0.851,0.0,12.5,2.95
2001-04-01,KUTTYADI,0,0,NONE,-0.580768224399098,-0.665711736397568,-0.3481322265911216,0.0030476073589203834,0.10746413619885188,0.6506910236529992,0,0.0,0.1499999999999997,0.809,-0.041999999999999926,12.5,2.95
2001-04-02,KUTTYADI,0,0,NONE,-0.5798601033186337,-0.6706017878753321,-0.3481756439108237,0.003406842012102821,0.10746413619885188,0.6506910236529992,0,0.01,0.0099999999999997,0.8021715,-0.006828500000000015,12.5,2.95
2001-04-03,KUTTYADI,0,0,NONE,-0.5789519822381695,-0.6699032090927942,-0.34816581449923295,0.003492376762018252,0.10746413619885188,0.6506910236529992,0,0.02,0.0299999999999997,0.80371743,0.0015459299999999176,12.5,2.95
